Title,Year,Genre,IMDB Rating,Runtime,Age Rating,Production Country,Streaming Service,JustWatch URL
 Maharaja ,2024,"Crime, Drama, Mystery & Thriller, Action & Adventure",8.7,2h 30min,,India,Netflix,https://www.justwatch.com/in/movie/maharaja-2024
 Kill ,2024,"Mystery & Thriller, Action & Adventure, Crime, Drama",7.7,1h 45min,A,"India,United States",Unavailable,https://www.justwatch.com/in/movie/kill-2024
 Kalki 2898-AD ,2024,"Fantasy, Science-Fiction, Drama, Action & Adventure, Mystery & Thriller",7.6,3h 1min,UA,India,Unavailable,https://www.justwatch.com/in/movie/project-k
 Munjya ,2024,"Comedy, Horror",7.2,2h 3min,,India,Unavailable,https://www.justwatch.com/in/movie/munjha
" The Gangster, the Cop, the Devil ",2019,"Crime, Action & Adventure, Mystery & Thriller",6.9,1h 50min,,"Korea, Republic of",Lionsgate Play,https://www.justwatch.com/in/movie/the-gangster-the-cop-the-devil
 The Goat Life ,2024,Drama,8.2,2h 51min,UA,"India,United States",Netflix,https://www.justwatch.com/in/movie/aadujeevitham
 Kingdom of the Planet of the Apes ,2024,"Action & Adventure, Science-Fiction, Drama, Mystery & Thriller",7.0,2h 25min,,United States,Hotstar or buy it as download on Apple TV,https://www.justwatch.com/in/movie/kingdom-of-the-planet-of-the-apes
 Aavesham ,2024,"Comedy, Action & Adventure",7.9,2h 38min,,India,"Amazon Prime Video, Amazon Video online",https://www.justwatch.com/in/movie/aavesham-2024
 Family Star ,2024,"Action & Adventure, Drama, Comedy, Romance",5.3,2h 39min,,India,"Amazon Prime Video, Amazon Video online",https://www.justwatch.com/in/movie/family-star
 Deadpool & Wolverine ,2024,"Science-Fiction, Action & Adventure, Comedy",8.1,2h 8min,A,United States,Unavailable,https://www.justwatch.com/in/movie/deadpool-3
 The Fall Guy ,2024,"Romance, Action & Adventure, Comedy, Drama",6.9,2h 6min,UA,"Canada,United States,Australia",Unavailable,https://www.justwatch.com/in/movie/the-fall-guy
 Furiosa: A Mad Max Saga ,2024,"Action & Adventure, Science-Fiction, Mystery & Thriller",7.6,2h 29min,A,"United States,Australia",Unavailable,https://www.justwatch.com/in/movie/furiosa
 Deadpool ,2016,"Action & Adventure, Comedy",8.0,1h 48min,A,United States,"Hotstar, Google Play Movies, Amazon Video",https://www.justwatch.com/in/movie/deadpool
 Maharshi ,2019,"Action & Adventure, Drama",7.2,2h 56min,UA,India,"Amazon Prime Video or for free with ads on Hotstar, Amazon Video online",https://www.justwatch.com/in/movie/maharshi
 Harom Hara ,2024,"Drama, Action & Adventure, Crime",8.2,2h 34min,A,India,Amazon Prime Video,https://www.justwatch.com/in/movie/harom-hara
 Srikanth ,2024,Drama,7.5,2h 14min,U,India,Netflix,https://www.justwatch.com/in/movie/sri-2023
 Dune: Part Two ,2024,"Science-Fiction, Action & Adventure, Drama",8.5,2h 47min,,United States,"Jio Cinema, Apple TV, Amazon Video",https://www.justwatch.com/in/movie/dune-part-two
 Garudan ,2024,"Action & Adventure, Crime, Mystery & Thriller",7.2,2h 13min,UA,India,Amazon Prime Video or rent it on Amazon Video online,https://www.justwatch.com/in/movie/garudan-2024
 Bad Boys: Ride or Die ,2024,"Comedy, Mystery & Thriller, Crime, Action & Adventure",6.7,1h 55min,,United States,Unavailable,https://www.justwatch.com/in/movie/bad-boys-4
 Chandu Champion ,2024,"Action & Adventure, Drama, History, Sport, War & Military",8.1,2h 22min,UA,India,Unavailable,https://www.justwatch.com/in/movie/chandu-champion
 Inside Out ,2015,"Animation, Kids & Family, Action & Adventure, Drama, Comedy, Fantasy",8.1,1h 35min,U,United States,"Hotstar, Google Play Movies, Google Play Movies",https://www.justwatch.com/in/movie/inside-out
 Kung Fu Panda 4 ,2024,"Kids & Family, Fantasy, Animation, Action & Adventure, Comedy",6.3,1h 34min,U,United States,"Jio Cinema, Apple TV, Zee, Video",https://www.justwatch.com/in/movie/kung-fu-panda-4
 The Ministry of Ungentlemanly Warfare ,2024,"Action & Adventure, Comedy, War & Military, Drama",6.8,2h 0min,,"United States,United Kingdom,Turkey",Amazon Prime Video,https://www.justwatch.com/in/movie/the-ministry-of-ungentlemanly-warfare
 365 Days ,2020,"Drama, Romance, Made in Europe",3.3,1h 54min,,Poland,Netflix,https://www.justwatch.com/in/movie/365-days
 Godzilla x Kong: The New Empire ,2024,"Action & Adventure, Fantasy, Science-Fiction, Mystery & Thriller",6.1,1h 55min,UA,"Australia,United States",Unavailable,https://www.justwatch.com/in/movie/godzilla-x-kong-the-new-empire
 Agent ,2023,"Mystery & Thriller, Action & Adventure",4.1,2h 34min,UA,India,Unavailable,https://www.justwatch.com/in/movie/agent
 Manjummel Boys ,2024,"Drama, Mystery & Thriller, Action & Adventure",8.3,2h 15min,UA,India,Hotstar,https://www.justwatch.com/in/movie/manjummel-boys
