Title,Year,Genre,IMDB Rating,Runtime,Age Rating,Production Country,Streaming Service,JustWatch URL
 Mirzapur ,2018,"Action & Adventure, Drama, Crime, Mystery & Thriller",8.5,50min,A,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/mirzapur
 House of the Dragon ,2022,"Drama, Action & Adventure, Science-Fiction, Fantasy, Romance",8.4,1h 2min,A,United States,Jio Cinema,https://www.justwatch.com/in/tv-show/house-of-the-dragon
 The Boys ,2019,"Action & Adventure, Science-Fiction, Comedy, Crime, Drama",8.7,1h 1min,A,United States,Amazon Prime Video,https://www.justwatch.com/in/tv-show/the-boys
 Panchayat ,2020,"Comedy, Drama",9.0,35min,,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/panchayat
 Sweet Home ,2020,"Science-Fiction, Fantasy, Horror, Mystery & Thriller, Drama",7.3,58min,A,"Korea, Republic of",Netflix,https://www.justwatch.com/in/tv-show/sweet-home
 Game of Thrones ,2011,"Fantasy, Action & Adventure, Drama, Science-Fiction",9.2,58min,A,"United States,United Kingdom",Jio Cinema,https://www.justwatch.com/in/tv-show/game-of-thrones
 Apharan ,2018,"Drama, Action & Adventure, Crime, Mystery & Thriller",8.2,24min,,India,"Jio Cinema, Jio Cinema",https://www.justwatch.com/in/tv-show/apharan
 Demon Slayer: Kimetsu no Yaiba ,2019,"Animation, Action & Adventure, Science-Fiction, Fantasy, Mystery & Thriller",8.6,26min,,Japan,"Slayer, Netflix, Channel or for free with ads on Crunchyroll",https://www.justwatch.com/in/tv-show/demon-slayer-kimetsu-no-yaiba
 Shōgun ,2024,"War & Military, Drama, History",8.7,59min,,United States,Hotstar,https://www.justwatch.com/in/tv-show/shogun-2024
 The Bear ,2022,"Drama, Comedy",8.6,34min,,United States,Hotstar,https://www.justwatch.com/in/tv-show/the-bear
 Evil ,2019,"Mystery & Thriller, Crime, Drama, Horror",7.8,49min,,United States,Jio Cinema,https://www.justwatch.com/in/tv-show/evil
 Presumed Innocent ,2024,"Drama, Crime",7.8,43min,A,United States,Apple TV Plus,https://www.justwatch.com/in/tv-show/presumed-innocent
 Tribhuvan Mishra CA Topper ,2024,"Mystery & Thriller, Comedy, Crime, Drama",7.0,57min,,India,Netflix,https://www.justwatch.com/in/tv-show/tribhuvan-mishra-ca-topper
 Bigg Boss OTT ,2021,Reality TV,1.9,1h 30min,A,India,Jio Cinema for free with ads,https://www.justwatch.com/in/tv-show/bigg-boss-ott
 Y: The Last Man ,2021,"Science-Fiction, Action & Adventure, Drama",6.0,51min,A,United States,Unavailable,https://www.justwatch.com/in/tv-show/y-the-last-man
 Gullak ,2019,"Comedy, Drama, Kids & Family",9.1,30min,,India,Sony Liv,https://www.justwatch.com/in/tv-show/gullak
 Elite ,2018,"Drama, Crime, Mystery & Thriller",7.2,49min,A,Spain,Netflix,https://www.justwatch.com/in/tv-show/elite
 Money Heist ,2017,"Mystery & Thriller, Action & Adventure, Crime, Drama, Made in Europe",8.2,50min,,Spain,Netflix,https://www.justwatch.com/in/tv-show/paperhouse
 Attack on Titan ,2013,"Drama, Fantasy, Horror, Animation, Action & Adventure, Science-Fiction",9.1,25min,UA,Japan,"Titan, Anime Times Amazon Channel",https://www.justwatch.com/in/tv-show/attack-on-titan
 XXX: Uncensored ,2018,"Comedy, Drama, Romance",4.8,22min,,India,Alt Balaji,https://www.justwatch.com/in/tv-show/x-x-x-uncensored
 Kota Factory ,2019,"Comedy, Drama",9.0,43min,,India,Netflix,https://www.justwatch.com/in/tv-show/kota-factory
 Mastram ,2020,"Drama, Comedy, Fantasy",6.9,28min,,India,Unavailable,https://www.justwatch.com/in/tv-show/mastram
 Aashram ,2020,"Drama, Crime, Mystery & Thriller",7.4,43min,,India,MX Player for free with ads,https://www.justwatch.com/in/tv-show/aashram
 Batman: Caped Crusader ,2024,"Action & Adventure, Crime, Kids & Family, Fantasy, Science-Fiction, Animation",7.5,25min,,United States,Amazon Prime Video,https://www.justwatch.com/in/tv-show/batman-caped-crusader
 Breaking Bad ,2008,"Crime, Drama, Mystery & Thriller",9.5,47min,U,United States,Netflix,https://www.justwatch.com/in/tv-show/breaking-bad
 Bigg Boss ,2006,"Reality TV, Kids & Family",3.6,1h 16min,,India,Unavailable,https://www.justwatch.com/in/tv-show/bigg-boss
 Raising Voices ,2024,Drama,7.2,46min,,Spain,Netflix,https://www.justwatch.com/in/tv-show/raising-voices
 College Romance ,2018,"Comedy, Drama, Romance",8.3,31min,A,India,Sony Liv,https://www.justwatch.com/in/tv-show/college-romance
 Stranger Things ,2016,"Mystery & Thriller, Action & Adventure, Drama, Science-Fiction, Fantasy, Horror",8.7,1h 1min,,United States,Netflix,https://www.justwatch.com/in/tv-show/stranger-things
 The Rookie ,2018,"Crime, Drama, Comedy, Action & Adventure",8.0,42min,,United States,Unavailable,https://www.justwatch.com/in/tv-show/the-rookie
 Asur: Welcome to Your Dark Side ,2020,"Mystery & Thriller, Crime, Drama",8.5,47min,,India,Jio Cinema or for free with ads on Jio Cinema,https://www.justwatch.com/in/tv-show/asur
 Fallout ,2024,"Drama, Science-Fiction, War & Military, Action & Adventure, Mystery & Thriller",8.4,59min,A,United States,Amazon Prime Video,https://www.justwatch.com/in/tv-show/fallout
 Cobra Kai ,2018,"Action & Adventure, Comedy, Drama, Sport",8.5,34min,A,United States,Netflix,https://www.justwatch.com/in/tv-show/cobra-kai
 Those About to Die ,2024,"Action & Adventure, Comedy, Drama",6.5,53min,,"United States,Germany,Italy",Amazon Prime Video,https://www.justwatch.com/in/tv-show/those-about-to-die
 36 Days ,2024,Mystery & Thriller,4.7,37min,,India,Sony Liv,https://www.justwatch.com/in/tv-show/36-days
 The Family Man ,2019,"Action & Adventure, Comedy, Drama",8.7,45min,,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/the-family-man
 The Flash ,2014,"Action & Adventure, Drama, Science-Fiction",7.5,45min,,United States,Amazon Prime Video,https://www.justwatch.com/in/tv-show/the-flash
 Dark ,2017,"Drama, Science-Fiction, Mystery & Thriller, Crime",8.7,56min,,Germany,Netflix,https://www.justwatch.com/in/tv-show/dark
 La Brea ,2021,"Science-Fiction, Drama, Action & Adventure",5.8,42min,,United States,Jio Cinema,https://www.justwatch.com/in/tv-show/la-brea
 Farzi ,2023,"Crime, Drama, Mystery & Thriller",8.4,56min,,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/farzi
 3 Body Problem ,2024,"Science-Fiction, Fantasy, Drama",7.5,56min,A,United States,Netflix,https://www.justwatch.com/in/tv-show/3-body-problem
 Westworld ,2016,"Drama, Science-Fiction, Western",8.5,1h 1min,A,United States,Jio Cinema,https://www.justwatch.com/in/tv-show/westworld
 Mad Men ,2007,Drama,8.7,49min,U,United States,"Netflix, Channel",https://www.justwatch.com/in/tv-show/mad-men
 Jamnapaar ,2024,Drama,8.2,32min,,India,"MX Player, miniTV for free with ads",https://www.justwatch.com/in/tv-show/jamnapaar
