titles_years,genres,ratings,streamings,justwatchs
 Maharaja (2024),"Drama, Mystery & Thriller, Action & Adventure, Crime",8.7 (31k),"Currently you are able to watch ""Maharaja"" streaming on Netflix. ",https://www.justwatch.com/in/movie/maharaja-2024
 Kalki 2898-AD (2024),"Fantasy, Science-Fiction, Drama, Action & Adventure, Mystery & Thriller",7.6 (42k),Unavalilabe,https://www.justwatch.com/in/movie/project-k
 Kill (2024),"Drama, Mystery & Thriller, Action & Adventure, Crime",7.7 (14k),Unavalilabe,https://www.justwatch.com/in/movie/kill-2024
 Munjya (2024),"Comedy, Horror",7.2 (15k),Unavalilabe,https://www.justwatch.com/in/movie/munjha
" The Gangster, the Cop, the Devil (2019)","Crime, Action & Adventure, Mystery & Thriller",6.9 (25k),"Currently you are able to watch ""The Gangster, the Cop, the Devil"" streaming on Lionsgate Play. ",https://www.justwatch.com/in/movie/the-gangster-the-cop-the-devil
 The Goat Life (2024),Drama,8.2 (12k),"Currently you are able to watch ""The Goat Life"" streaming on Netflix. ",https://www.justwatch.com/in/movie/aadujeevitham
 Family Star (2024),"Action & Adventure, Drama, Comedy, Romance",5.3 (4.3k),"Currently you are able to watch ""Family Star"" streaming on Amazon Prime Video, Jio Cinema or rent it on Amazon Video online. ",https://www.justwatch.com/in/movie/family-star
 Aavesham (2024),"Comedy, Action & Adventure",7.9 (17k),"Currently you are able to watch ""Aavesham"" streaming on Amazon Prime Video, Hotstar or rent it on Amazon Video online. ",https://www.justwatch.com/in/movie/aavesham-2024
 Kingdom of the Planet of the Apes (2024),"Action & Adventure, Science-Fiction, Mystery & Thriller, Drama",7.0 (85k),"Currently you are able to watch ""Kingdom of the Planet of the Apes"" streaming on Hotstar or buy it as download on Apple TV, Google Play Movies, YouTube. ",https://www.justwatch.com/in/movie/kingdom-of-the-planet-of-the-apes
 Deadpool & Wolverine (2024),"Action & Adventure, Comedy, Science-Fiction",8.2 (142k),Unavalilabe,https://www.justwatch.com/in/movie/deadpool-3
 The Fall Guy (2024),"Action & Adventure, Comedy, Drama, Romance",7.0 (108k),Unavalilabe,https://www.justwatch.com/in/movie/the-fall-guy
 Srikanth (2024),Drama,7.5 (11k),"Currently you are able to watch ""Srikanth"" streaming on Netflix. ",https://www.justwatch.com/in/movie/sri-2023
 Furiosa: A Mad Max Saga (2024),"Action & Adventure, Science-Fiction, Mystery & Thriller",7.6 (147k),Unavalilabe,https://www.justwatch.com/in/movie/furiosa
 Maharshi (2019),"Drama, Action & Adventure",7.2 (9.9k),"Currently you are able to watch ""Maharshi"" streaming on Amazon Prime Video or for free with ads on Hotstar. It is also possible to rent ""Maharshi"" on Amazon Video online. ",https://www.justwatch.com/in/movie/maharshi
 Harom Hara (2024),"Action & Adventure, Crime, Drama",8.2 (2.6k),"Currently you are able to watch ""Harom Hara"" streaming on Amazon Prime Video, Jio Cinema, aha. ",https://www.justwatch.com/in/movie/harom-hara
 Deadpool (2016),"Action & Adventure, Comedy",8.0 (1m),"Currently you are able to watch ""Deadpool"" streaming on Hotstar. It is also possible to buy ""Deadpool"" on Google Play Movies, YouTube, Apple TV as download or rent it on Amazon Video, Apple TV, Google Play Movies, YouTube online. ",https://www.justwatch.com/in/movie/deadpool
 Dune: Part Two (2024),"Science-Fiction, Action & Adventure, Drama",8.5 (487k),"Currently you are able to watch ""Dune: Part Two"" streaming on Jio Cinema. It is also possible to buy ""Dune: Part Two"" on Apple TV, Google Play Movies, YouTube as download or rent it on Amazon Video, Apple TV, Google Play Movies, YouTube online. ",https://www.justwatch.com/in/movie/dune-part-two
 Garudan (2024),"Action & Adventure, Crime, Mystery & Thriller",7.2 (2.3k),"Currently you are able to watch ""Garudan"" streaming on Amazon Prime Video or rent it on Amazon Video online. ",https://www.justwatch.com/in/movie/garudan-2024
 Bad Boys: Ride or Die (2024),"Comedy, Mystery & Thriller, Crime, Action & Adventure",6.7 (48k),Unavalilabe,https://www.justwatch.com/in/movie/bad-boys-4
 Inside Out (2015),"Drama, Animation, Comedy, Kids & Family, Fantasy",8.1 (816k),"Currently you are able to watch ""Inside Out"" streaming on Hotstar. It is also possible to buy ""Inside Out"" on Google Play Movies, YouTube, Apple TV as download or rent it on Google Play Movies, YouTube, Tata Play, Apple TV online. ",https://www.justwatch.com/in/movie/inside-out
 Kung Fu Panda 4 (2024),"Comedy, Kids & Family, Fantasy, Animation, Action & Adventure",6.3 (50k),"Currently you are able to watch ""Kung Fu Panda 4"" streaming on Jio Cinema. It is also possible to buy ""Kung Fu Panda 4"" on Apple TV, Google Play Movies, YouTube as download or rent it on Zee5, Amazon Video, Apple TV, Google Play Movies, YouTube online. ",https://www.justwatch.com/in/movie/kung-fu-panda-4
