Title_Year,Genre,IMDB Rating,Runtime,Age Rating,Production Country,JustWatch URL
 Maharaja (2024),"Crime, Drama, Mystery & Thriller, Action & Adventure",8.7 (31k),2h 30min,,India,https://www.justwatch.com/in/movie/maharaja-2024
 Kill (2024),"Drama, Mystery & Thriller, Action & Adventure, Crime",7.7 (15k),1h 45min,A,"India,United States",https://www.justwatch.com/in/movie/kill-2024
 Kalki 2898-AD (2024),"Fantasy, Science-Fiction, Drama, Action & Adventure, Mystery & Thriller",7.6 (42k),3h 1min,UA,India,https://www.justwatch.com/in/movie/project-k
 Munjya (2024),"Comedy, Horror",7.2 (15k),2h 3min,,India,https://www.justwatch.com/in/movie/munjha
" The Gangster, the Cop, the Devil (2019)","Crime, Action & Adventure, Mystery & Thriller",6.9 (25k),1h 50min,,"Korea, Republic of",https://www.justwatch.com/in/movie/the-gangster-the-cop-the-devil
 The Goat Life (2024),Drama,8.2 (12k),2h 51min,UA,"India,United States",https://www.justwatch.com/in/movie/aadujeevitham
 Kingdom of the Planet of the Apes (2024),"Action & Adventure, Science-Fiction, Drama, Mystery & Thriller",7.0 (87k),2h 25min,,United States,https://www.justwatch.com/in/movie/kingdom-of-the-planet-of-the-apes
 Aavesham (2024),"Comedy, Action & Adventure",7.9 (17k),2h 38min,,India,https://www.justwatch.com/in/movie/aavesham-2024
 Family Star (2024),"Action & Adventure, Drama, Comedy, Romance",5.3 (4.3k),2h 39min,,India,https://www.justwatch.com/in/movie/family-star
 Deadpool & Wolverine (2024),"Action & Adventure, Comedy, Science-Fiction",8.1 (152k),2h 8min,A,United States,https://www.justwatch.com/in/movie/deadpool-3
 The Fall Guy (2024),"Romance, Action & Adventure, Comedy, Drama",6.9 (129k),2h 6min,UA,"United States,Australia,Canada",https://www.justwatch.com/in/movie/the-fall-guy
 Furiosa: A Mad Max Saga (2024),"Science-Fiction, Action & Adventure, Mystery & Thriller",7.6 (148k),2h 29min,A,"Australia,United States",https://www.justwatch.com/in/movie/furiosa
 Maharshi (2019),"Drama, Action & Adventure",7.2 (9.9k),2h 56min,UA,India,https://www.justwatch.com/in/movie/maharshi
 Deadpool (2016),"Action & Adventure, Comedy",8.0 (1m),1h 48min,A,United States,https://www.justwatch.com/in/movie/deadpool
 Harom Hara (2024),"Drama, Action & Adventure, Crime",8.2 (2.6k),2h 34min,A,India,https://www.justwatch.com/in/movie/harom-hara
 Srikanth (2024),Drama,7.5 (11k),2h 14min,U,India,https://www.justwatch.com/in/movie/sri-2023
 Dune: Part Two (2024),"Science-Fiction, Action & Adventure, Drama",8.5 (488k),2h 47min,,United States,https://www.justwatch.com/in/movie/dune-part-two
