Title_Year,Genre,IMDB Rating,Streaming Service,Runtime,Age Rating,Production Country,JustWatch URL
 Mirzapur (2018),"Action & Adventure, Drama, Crime, Mystery & Thriller",8.5 (86k),"Currently you are able to watch ""Mirzapur"" streaming on Amazon Prime Video. ",50min,A,India,https://www.justwatch.com/in/tv-show/mirzapur
 House of the Dragon (2022),"Drama, Action & Adventure, Science-Fiction, Fantasy, Romance",8.4 (423k),"Currently you are able to watch ""House of the Dragon"" streaming on Jio Cinema. ",1h 2min,A,United States,https://www.justwatch.com/in/tv-show/house-of-the-dragon
 The Boys (2019),"Action & Adventure, Science-Fiction, Comedy, Crime, Drama",8.7 (704k),"Currently you are able to watch ""The Boys"" streaming on Amazon Prime Video. ",1h 1min,A,United States,https://www.justwatch.com/in/tv-show/the-boys
 Panchayat (2020),"Comedy, Drama",9.0 (96k),"Currently you are able to watch ""Panchayat"" streaming on Amazon Prime Video. ",35min,,India,https://www.justwatch.com/in/tv-show/panchayat
 Sweet Home (2020),"Science-Fiction, Fantasy, Horror, Mystery & Thriller, Drama",7.3 (34k),"Currently you are able to watch ""Sweet Home"" streaming on Netflix. ",58min,A,"Korea, Republic of",https://www.justwatch.com/in/tv-show/sweet-home
 Game of Thrones (2011),"Fantasy, Action & Adventure, Drama, Science-Fiction",9.2 (2m),"Currently you are able to watch ""Game of Thrones"" streaming on Jio Cinema. ",58min,A,"United States,United Kingdom",https://www.justwatch.com/in/tv-show/game-of-thrones
 Apharan (2018),"Drama, Action & Adventure, Crime, Mystery & Thriller",8.2 (20k),"Currently you are able to watch ""Apharan"" streaming on Jio Cinema, Alt Balaji or for free with ads on Jio Cinema. ",24min,,India,https://www.justwatch.com/in/tv-show/apharan
 Demon Slayer: Kimetsu no Yaiba (2019),"Animation, Action & Adventure, Science-Fiction, Fantasy, Mystery & Thriller",8.6 (161k),"Currently you are able to watch ""Demon Slayer: Kimetsu no Yaiba"" streaming on Netflix, Crunchyroll, Crunchyroll Amazon Channel or for free with ads on Crunchyroll. ",26min,,Japan,https://www.justwatch.com/in/tv-show/demon-slayer-kimetsu-no-yaiba
 Shōgun (2024),"War & Military, Drama, History",8.7 (159k),"Currently you are able to watch ""Shōgun"" streaming on Hotstar. ",59min,,United States,https://www.justwatch.com/in/tv-show/shogun-2024
 The Bear (2022),"Drama, Comedy",8.6 (235k),"Currently you are able to watch ""The Bear"" streaming on Hotstar. ",34min,,United States,https://www.justwatch.com/in/tv-show/the-bear
 Evil (2019),"Mystery & Thriller, Crime, Drama, Horror",7.8 (39k),"Currently you are able to watch ""Evil"" streaming on Jio Cinema. ",49min,,United States,https://www.justwatch.com/in/tv-show/evil
 Presumed Innocent (2024),"Drama, Crime",7.8 (30k),"Currently you are able to watch ""Presumed Innocent"" streaming on Apple TV Plus. ",43min,A,United States,https://www.justwatch.com/in/tv-show/presumed-innocent
 Tribhuvan Mishra CA Topper (2024),"Mystery & Thriller, Comedy, Crime, Drama",7.0 (1.5k),"Currently you are able to watch ""Tribhuvan Mishra CA Topper"" streaming on Netflix. ",57min,,India,https://www.justwatch.com/in/tv-show/tribhuvan-mishra-ca-topper
 Bigg Boss OTT (2021),Reality TV,1.9 (1.2k),"Currently you are able to watch ""Bigg Boss OTT"" streaming on Jio Cinema for free with ads. ",1h 30min,A,India,https://www.justwatch.com/in/tv-show/bigg-boss-ott
 Y: The Last Man (2021),"Science-Fiction, Action & Adventure, Drama",6.0 (16k),Currently Unavailable,51min,A,United States,https://www.justwatch.com/in/tv-show/y-the-last-man
 Gullak (2019),"Comedy, Drama, Kids & Family",9.1 (24k),"Currently you are able to watch ""Gullak"" streaming on Sony Liv. ",30min,,India,https://www.justwatch.com/in/tv-show/gullak
 Elite (2018),"Drama, Crime, Mystery & Thriller",7.2 (92k),"Currently you are able to watch ""Elite"" streaming on Netflix. ",49min,A,Spain,https://www.justwatch.com/in/tv-show/elite
 Money Heist (2017),"Mystery & Thriller, Action & Adventure, Crime, Drama, Made in Europe",8.2 (541k),"Currently you are able to watch ""Money Heist"" streaming on Netflix. ",50min,,Spain,https://www.justwatch.com/in/tv-show/paperhouse
 Attack on Titan (2013),"Drama, Fantasy, Horror, Animation, Action & Adventure, Science-Fiction",9.1 (536k),"Currently you are able to watch ""Attack on Titan"" streaming on Anime Times Amazon Channel. ",25min,UA,Japan,https://www.justwatch.com/in/tv-show/attack-on-titan
 XXX: Uncensored (2018),"Comedy, Drama, Romance",4.8 (795),"Currently you are able to watch ""XXX: Uncensored"" streaming on Alt Balaji. ",22min,,India,https://www.justwatch.com/in/tv-show/x-x-x-uncensored
 Kota Factory (2019),"Comedy, Drama",9.0 (84k),"Currently you are able to watch ""Kota Factory"" streaming on Netflix. ",43min,,India,https://www.justwatch.com/in/tv-show/kota-factory
 Mastram (2020),"Drama, Comedy, Fantasy",6.9 (2.5k),Currently Unavailable,28min,,India,https://www.justwatch.com/in/tv-show/mastram
 Aashram (2020),"Drama, Crime, Mystery & Thriller",7.4 (32k),"Currently you are able to watch ""Aashram"" streaming on MX Player for free with ads. ",43min,,India,https://www.justwatch.com/in/tv-show/aashram
 Batman: Caped Crusader (2024),"Action & Adventure, Crime, Kids & Family, Fantasy, Science-Fiction, Animation",7.5 (3.4k),"Currently you are able to watch ""Batman: Caped Crusader"" streaming on Amazon Prime Video. ",25min,,United States,https://www.justwatch.com/in/tv-show/batman-caped-crusader
 Breaking Bad (2008),"Crime, Drama, Mystery & Thriller",9.5 (2m),"Currently you are able to watch ""Breaking Bad"" streaming on Netflix. ",47min,U,United States,https://www.justwatch.com/in/tv-show/breaking-bad
 Bigg Boss (2006),"Reality TV, Kids & Family",3.6 (4.1k),Currently Unavailable,1h 16min,,India,https://www.justwatch.com/in/tv-show/bigg-boss
 Raising Voices (2024),Drama,7.2 (3.7k),"Currently you are able to watch ""Raising Voices"" streaming on Netflix. ",46min,,Spain,https://www.justwatch.com/in/tv-show/raising-voices
 College Romance (2018),"Comedy, Drama, Romance",8.3 (29k),"Currently you are able to watch ""College Romance"" streaming on Sony Liv. ",31min,A,India,https://www.justwatch.com/in/tv-show/college-romance
 Stranger Things (2016),"Mystery & Thriller, Action & Adventure, Drama, Science-Fiction, Fantasy, Horror",8.7 (1m),"Currently you are able to watch ""Stranger Things"" streaming on Netflix. ",1h 1min,,United States,https://www.justwatch.com/in/tv-show/stranger-things
 The Rookie (2018),"Crime, Drama, Comedy, Action & Adventure",8.0 (79k),Currently Unavailable,42min,,United States,https://www.justwatch.com/in/tv-show/the-rookie
