Title,Genre,Rating,Streaming,JustWatch Link
 Mirzapur (2018),"Action & Adventure, Drama, Crime, Mystery & Thriller",8.5 (86k),Currently you are able to watch 「Mirzapur」 streaming on Amazon Prime Video. ,https://www.justwatch.com/in/tv-show/mirzapur
 House of the Dragon (2022),"Drama, Action & Adventure, Science-Fiction, Fantasy, Romance",8.4 (422k),"Currently you are able to watch ""House of the Dragon"" streaming on Jio Cinema. ",https://www.justwatch.com/in/tv-show/house-of-the-dragon
 The Boys (2019),"Science-Fiction, Action & Adventure, Comedy, Crime, Drama",8.7 (703k),"Currently you are able to watch ""The Boys"" streaming on Amazon Prime Video. ",https://www.justwatch.com/in/tv-show/the-boys
 Panchayat (2020),"Drama, Comedy",9.0 (96k),"Currently you are able to watch ""Panchayat"" streaming on Amazon Prime Video. ",https://www.justwatch.com/in/tv-show/panchayat
 Sweet Home (2020),"Science-Fiction, Horror, Mystery & Thriller, Drama, Fantasy",7.3 (34k),"Currently you are able to watch ""Sweet Home"" streaming on Netflix. ",https://www.justwatch.com/in/tv-show/sweet-home
 Game of Thrones (2011),"Drama, Fantasy, Action & Adventure, Science-Fiction",9.2 (2m),"Currently you are able to watch ""Game of Thrones"" streaming on Jio Cinema. ",https://www.justwatch.com/in/tv-show/game-of-thrones
 Apharan (2018),"Drama, Action & Adventure, Crime, Mystery & Thriller",8.2 (20k),"Currently you are able to watch ""Apharan"" streaming on Jio Cinema, Alt Balaji or for free with ads on Jio Cinema. ",https://www.justwatch.com/in/tv-show/apharan
 Demon Slayer: Kimetsu no Yaiba (2019),"Animation, Action & Adventure, Science-Fiction, Fantasy, Mystery & Thriller",8.6 (161k),"Currently you are able to watch ""Demon Slayer: Kimetsu no Yaiba"" streaming on Netflix, Crunchyroll, Crunchyroll Amazon Channel or for free with ads on Crunchyroll. ",https://www.justwatch.com/in/tv-show/demon-slayer-kimetsu-no-yaiba
 Shōgun (2024),"War & Military, Drama, History",8.7 (159k),"Currently you are able to watch ""Shōgun"" streaming on Hotstar. ",https://www.justwatch.com/in/tv-show/shogun-2024
 The Bear (2022),"Comedy, Drama",8.6 (235k),"Currently you are able to watch ""The Bear"" streaming on Hotstar. ",https://www.justwatch.com/in/tv-show/the-bear
